Dates,Open ,High,Low,Close ,Volume,MarketCapita
13-05-2017,88.69,93.81,86.66,90.84,"8,87,42,200","8,31,90,66,651"
12-05-2017,89.43,93.12,88.66,88.66,"14,58,24,992","8,11,68,16,184"
11-05-2017,89.77,102.55,88.48,89.88,"13,27,22,000","8,22,62,20,249"
10-05-2017,91.15,92.85,85.29,89.52,"14,56,02,000","8,19,10,83,680"
09-05-2017,91.23,93.06,80.39,91.16,"36,34,33,984","8,33,82,58,352"
08-05-2017,93.75,95.14,89.51,91.42,"23,13,44,000","8,35,90,85,414"
07-05-2017,97.87,98.24,89.87,94.01,"18,32,95,008","8,59,28,54,298"
06-05-2017,94.91,97.88,90.95,97.81,"15,14,62,000","8,93,78,43,151"
05-05-2017,96.73,103.23,92.22,94.4,"33,19,28,000","8,62,29,92,171"
04-05-2017,79.72,97.56,79.43,96.98,"36,68,47,008","8,85,60,50,446"
03-05-2017,77.25,80.1,75.76,79.72,"14,19,22,000","7,27,72,79,246"
02-05-2017,76.65,79.35,74.38,77.26,"19,37,72,992","7,05,09,41,746"
01-05-2017,79.32,82.52,73.09,76.3,"37,68,41,984","6,96,04,66,482"
30-04-2017,68.54,79.02,68.35,79.02,"22,99,44,992","7,20,66,69,917"
29-04-2017,71.39,71.9,66.78,68.38,"16,54,48,000","6,23,39,11,088"
28-04-2017,62.23,70.85,62.13,70.16,"34,65,45,984","6,39,43,55,247"
27-04-2017,52.81,62.17,52.29,62.17,"24,67,75,008","5,66,41,57,655"
26-04-2017,49.91,53.44,49.91,52.72,"10,48,84,000","4,80,18,51,008"
25-04-2017,50.07,50.3,49.81,49.89,"3,82,64,600","4,54,27,08,761"
24-04-2017,48.87,50.18,48.87,50.03,"5,55,80,600","4,55,39,43,109"
23-04-2017,48.59,48.89,48.17,48.49,"3,62,34,000","4,41,21,26,295"
22-04-2017,48.18,48.74,48.17,48.55,"3,73,57,600","4,41,64,42,028"
21-04-2017,49.64,49.66,48.14,48.22,"4,50,48,300","4,38,51,05,012"
20-04-2017,48.13,49.99,48.13,49.67,"7,96,00,896","4,51,52,41,563"
19-04-2017,50.73,50.95,47.26,48.31,"7,62,81,000","4,38,95,19,738"
18-04-2017,48.32,51.03,48.3,50.71,"7,87,48,496","4,60,63,07,174"
17-04-2017,48.66,48.75,48.05,48.3,"4,40,13,300","4,38,65,52,041"
16-04-2017,49.04,49.14,48.19,48.72,"3,13,43,800","4,42,26,44,315"
15-04-2017,47.65,49.57,47.18,49.1,"6,62,07,800","4,45,59,16,490"
14-04-2017,49.97,50.05,46.76,47.57,"9,16,74,400","4,31,58,78,957"
13-04-2017,46.31,50.91,46.31,50.22,"15,72,00,000","4,55,42,99,452"
12-04-2017,43.46,47.23,43.11,46.29,"8,80,45,696","4,19,63,02,994"
11-04-2017,43.5,44.25,43.3,43.41,"3,83,03,300","3,93,38,86,291"
10-04-2017,43.28,44.14,42.42,43.44,"4,40,61,500","3,93,51,03,268"
09-04-2017,44.28,44.49,42.89,43.27,"5,51,43,000","3,91,85,63,431"
08-04-2017,41.8,45.21,41.73,44.31,"7,41,38,800","4,01,14,22,381"
07-04-2017,42.87,44.04,41.65,42.16,"8,14,74,704","3,81,59,63,046"
06-04-2017,45.22,45.64,40.9,43.24,"14,71,20,000","3,91,23,17,959"
05-04-2017,44.66,47.84,44.54,45.3,"11,97,33,000","4,09,74,77,788"
04-04-2017,43.92,45.74,41.72,44.64,"15,75,68,000","4,03,62,01,194"
