Dates,Open,High,Low,Close,Volume,MarketCap
04-05-2022,1,1,0.999,1,"30,23,16,703","8,56,09,18,173"
03-05-2022,0.9994,1,0.9987,0.9999,"25,24,28,683","8,64,60,01,062"
02-05-2022,1,1,0.9989,0.9993,"30,73,65,549","8,70,56,36,807"
01-05-2022,0.9995,1,0.999,1,"22,55,80,134","8,78,97,40,246"
30-04-2022,0.9998,1,0.9985,0.9996,"31,09,63,701","8,81,81,91,590"
29-04-2022,0.9997,1,0.9983,0.9998,"27,20,88,804","8,87,02,36,829"
28-04-2022,0.9998,1,0.9986,0.9997,"23,69,66,964","8,94,18,18,340"
27-04-2022,0.9999,1,0.9989,0.9998,"26,23,54,517","8,96,51,57,284"
26-04-2022,0.9998,1,0.9983,0.9999,"30,83,26,652","9,00,63,58,379"
25-04-2022,0.9994,1,0.9983,0.9999,"34,63,19,768","9,03,15,17,335"
24-04-2022,0.9989,1,0.9985,0.9994,"22,84,65,431","9,07,34,45,659"
23-04-2022,0.9998,1,0.9988,0.9989,"22,62,68,510","9,06,61,55,427"
22-04-2022,0.9996,1,0.9985,0.9998,"34,08,45,027","9,07,28,17,959"
21-04-2022,0.9997,1,0.9989,0.9996,"38,30,68,478","9,06,84,41,970"
20-04-2022,0.9999,1,0.9989,0.9996,"35,75,70,874","9,09,45,87,755"
19-04-2022,0.9999,1,0.9991,0.9999,"23,71,94,901","9,04,89,60,536"
18-04-2022,0.9998,1,0.999,0.9999,"33,33,04,593","9,06,05,80,453"
17-04-2022,0.9997,1,0.9991,0.9997,"24,74,59,851","9,10,23,35,656"
16-04-2022,0.9999,1,0.9991,0.9997,"14,67,27,390","9,11,00,23,624"
15-04-2022,1,1,0.999,1,"21,47,28,011","9,11,88,30,080"
14-04-2022,1,1,0.9991,1,"33,17,38,722","9,13,49,53,246"
13-04-2022,1,1,0.999,1,"36,15,94,416","9,15,41,36,887"
12-04-2022,0.9989,1,0.9985,1,"42,86,88,988","9,17,76,73,303"
11-04-2022,0.9995,1,0.9984,0.9989,"56,36,01,650","9,21,93,55,246"
10-04-2022,1,1,0.9991,0.9994,"20,26,91,574","9,43,94,42,843"
09-04-2022,0.9994,1,0.9991,1,"22,32,73,767","9,45,06,85,643"
08-04-2022,0.9997,1,0.9987,0.9994,"35,78,05,985","9,45,58,09,952"
07-04-2022,0.9995,1,0.9988,0.9997,"33,90,21,268","9,38,22,73,270"
06-04-2022,0.9992,1,0.9982,0.9995,"48,10,73,108","9,41,58,81,594"
05-04-2022,0.9999,1,0.9988,0.9991,"27,15,25,487","9,47,35,57,735"
04-04-2022,0.9994,1,0.9987,0.9999,"30,26,04,607","9,50,84,08,011"
03-04-2022,0.999,1,0.9989,0.9995,"26,35,83,783","9,49,93,40,377"
02-04-2022,1,1,0.9989,0.999,"32,06,10,704","9,51,60,45,591"
01-04-2022,0.9999,1,0.9989,1,"35,24,09,244","9,63,79,13,431"
31-03-2022,0.9996,1,0.9988,0.9998,"34,81,62,205","9,64,02,56,234"
30-03-2022,0.9998,1,0.9989,0.9996,"27,27,43,090","9,64,80,38,927"
29-03-2022,0.9991,1,0.9985,0.9998,"33,48,49,878","9,61,38,86,822"
28-03-2022,1,1,0.9986,0.9992,"40,33,66,239","9,65,66,14,389"
27-03-2022,0.9999,1,0.9991,0.9999,"21,67,29,623","9,68,14,22,761"
26-03-2022,0.9993,1,0.999,0.9999,"16,36,93,787","9,66,79,76,183"
25-03-2022,0.9995,1,0.9986,0.9992,"38,08,90,703","9,69,49,11,759"
24-03-2022,0.9999,1,0.999,0.9996,"37,37,81,101","9,75,06,89,456"
23-03-2022,0.9991,1,0.9989,0.9998,"27,16,83,659","9,88,69,42,830"
22-03-2022,0.999,1,0.9986,0.999,"32,11,05,083","9,92,25,59,675"
21-03-2022,0.9993,1,0.999,0.999,"24,34,80,294","9,95,91,35,082"
20-03-2022,0.9996,1,0.9986,0.9993,"17,35,71,504","9,96,38,62,903"
19-03-2022,0.9998,1,0.9991,0.9996,"20,19,85,106","9,90,56,86,673"
18-03-2022,0.9996,1,0.999,0.9998,"30,94,48,931","9,86,82,78,892"
17-03-2022,0.9998,1,0.9991,0.9996,"23,29,00,487","9,83,94,67,717"
16-03-2022,0.9996,1,0.9992,0.9998,"36,46,47,382","9,81,53,01,822"
15-03-2022,1,1,0.9991,0.9996,"25,47,26,965","9,80,91,90,117"
14-03-2022,0.9995,1,0.9992,1,"25,30,31,902","9,83,26,11,480"
13-03-2022,0.9999,1,0.9994,0.9995,"21,37,92,119","9,82,52,60,224"
12-03-2022,0.9996,1,0.9994,0.9998,"16,41,18,832","9,84,47,96,941"
11-03-2022,1,1,0.9989,0.9995,"27,44,68,040","9,82,66,62,403"
10-03-2022,1,1,0.999,1,"30,87,86,474","9,80,35,31,178"
09-03-2022,1,1,0.9991,1,"35,45,27,424","9,81,11,53,612"
